09.12.2024 01:39:34
Scoring: RSE
Best score: -0.0831140239168348
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 50})
24    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 60}       -22.962454        3.227306                9
15    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 40}       -23.208565        3.310803               10
36    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 30}       -23.413088        3.609796               11
19   {'model__bootstrap': False, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 5, 'model__n_estimators': 150}       -23.537780        2.906421               12
41   {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -24.139885        3.668146               13
47    {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 80}       -24.889257        3.212810               14
37    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}       -25.271943        4.471925               15
40     {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 80}       -25.567371        3.177304               16
23  {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 12, 'model__n_estimators': 150}       -27.407428        3.418219               17
5    {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}       -27.446568        3.630652               18
20       {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 5, 'model__n_estimators': 70}       -27.569234        2.875558               19
26   {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'log2', 'model__min_samples_split': 12, 'model__n_estimators': 70}       -28.062019        3.756524               20
46    {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 10}       -28.205677        4.322638               21
6     {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__n_estimators': 200}       -28.676181        4.671503               22
33      {'model__bootstrap': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 8, 'model__n_estimators': 300}       -28.693618        2.859516               23
34  {'model__bootstrap': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 15, 'model__n_estimators': 50}       -29.526348        4.132948               24
17     {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 4, 'model__n_estimators': 80}       -30.705969        4.814275               25
7      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 90}       -31.209233        4.134081               26
43      {'model__bootstrap': True, 'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_split': 9, 'model__n_estimators': 20}       -31.523773        3.956842               27
27   {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 19, 'model__n_estimators': 80}       -31.822706        3.940836               28
30   {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'sqrt', 'model__min_samples_split': 12, 'model__n_estimators': 60}       -32.273452        4.676489               29
18   {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 300}       -32.370532        4.284301               30
8      {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 150}       -34.662278        3.814362               31
0      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 100}       -35.482671        3.984285               32
2       {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 20}       -37.309803        4.490579               33
