08.12.2024 19:38:33
Scoring: RSE
Best score: -0.08167004287652026
best params: OrderedDict([('model__bootstrap', False), ('model__max_depth', 30), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__n_estimators', 300)])
CV results:
                                                                                                                                             params  mean_test_score  std_test_score  rank_test_score
40     {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 6, 'model__n_estimators': 300}       -27.983434        3.648404               14
26    {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'log2', 'model__min_samples_split': 12, 'model__n_estimators': 70}       -28.062019        3.756524               15
6      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__n_estimators': 200}       -28.676181        4.671503               16
33       {'model__bootstrap': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 8, 'model__n_estimators': 300}       -28.693618        2.859516               17
34   {'model__bootstrap': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 15, 'model__n_estimators': 50}       -29.526348        4.132948               18
19    {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 14, 'model__n_estimators': 20}       -30.031954        4.416853               19
47      {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}       -30.358271        3.672071               20
17      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 4, 'model__n_estimators': 80}       -30.705969        4.814275               21
7       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 90}       -31.209233        4.134081               22
43       {'model__bootstrap': True, 'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_split': 9, 'model__n_estimators': 20}       -31.523773        3.956842               23
22  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 12, 'model__n_estimators': 60}       -32.273452        4.676489               24
30    {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'sqrt', 'model__min_samples_split': 12, 'model__n_estimators': 60}       -32.273452        4.676489               24
24     {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 7, 'model__n_estimators': 40}       -32.298747        4.536373               26
18    {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 300}       -32.370532        4.284301               27
32     {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 90}       -32.667672        4.190638               28
44       {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 13, 'model__n_estimators': 90}       -32.681204        3.509654               29
8       {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 150}       -34.662278        3.814362               30
0       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 100}       -35.482671        3.984285               31
42     {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 14, 'model__n_estimators': 60}       -35.520845        4.191266               32
37     {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 14, 'model__n_estimators': 30}       -36.539767        4.896915               33
29       {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 20}       -37.309803        4.490579               34
