08.12.2024 11:42:49
Scoring: RSE
Best score: -0.0926801555831973
best params: OrderedDict([('model__boot_type', False), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__nb_samples', 'Full'), ('model__nb_trees', 40)])
CV results:
                                                                                                                                                                    params  mean_test_score  std_test_score  rank_test_score
24           {'model__boot_type': True, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 20}       -30.274763        4.394628               22
21           {'model__boot_type': True, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 6, 'model__nb_samples': 0.5, 'model__nb_trees': 90}       -31.460022        3.588306               23
12          {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}       -31.674156        4.164723               24
6      {'model__boot_type': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__nb_samples': 'Full', 'model__nb_trees': 200}       -32.613227        5.591965               25
8           {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__nb_samples': 0.9, 'model__nb_trees': 30}       -32.648921        3.628795               26
0          {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.8, 'model__nb_trees': 300}       -33.207234        3.657377               27
17           {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.4, 'model__nb_trees': 30}       -33.751975        4.325408               28
13         {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 10}       -33.821780        4.560297               29
33  {'model__boot_type': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 'Full', 'model__nb_trees': 200}       -33.890745        4.609457               30
7         {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__nb_samples': 0.7, 'model__nb_trees': 150}       -34.332942        5.012016               31
45       {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.4, 'model__nb_trees': 100}       -34.379236        5.617056               32
16           {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.6, 'model__nb_trees': 10}       -34.468858        5.234924               33
9          {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__nb_samples': 0.8, 'model__nb_trees': 300}       -34.603275        3.841459               34
39           {'model__boot_type': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.3, 'model__nb_trees': 70}       -35.889908        4.275212               35
