13.11.2022 15:00:12
Scoring: accuracy
Best score: 0.9733720930232559
best params: OrderedDict([('model__max_depth', 100), ('model__max_features', 'log2'), ('model__min_samples_leaf', 1), ('model__min_samples_split', 2), ('model__n_estimators', 2007)])
CV results:
                                                                                                                                                 params  mean_test_score  std_test_score  rank_test_score
43   {'model__max_depth': 100, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 15, 'model__n_estimators': 136}         0.959202        0.027974               26
3     {'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 19, 'model__n_estimators': 457}         0.959202        0.027974               26
2     {'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 17, 'model__n_estimators': 469}         0.959202        0.027974               26
26  {'model__max_depth': 100, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 12, 'model__n_estimators': 2807}         0.959202        0.027974               26
27  {'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 137}         0.959202        0.027974               26
17   {'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 14, 'model__n_estimators': 2997}         0.959168        0.027960               31
11    {'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 6, 'model__n_estimators': 3000}         0.959129        0.027946               32
29    {'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 7, 'model__n_estimators': 2994}         0.959129        0.027946               32
41     {'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 6, 'model__n_estimators': 2959}         0.958634        0.028688               34
24     {'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 335}         0.958634        0.028688               34
49     {'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 12, 'model__n_estimators': 3000}         0.958634        0.028688               34
22       {'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 175}         0.958634        0.028688               34
20     {'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 2153}         0.958634        0.028688               34
16      {'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 506}         0.958634        0.028688               34
9      {'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 20, 'model__n_estimators': 2156}         0.958634        0.028688               34
8      {'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 16, 'model__n_estimators': 2460}         0.958634        0.028688               34
30      {'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 15, 'model__n_estimators': 383}         0.958634        0.028688               34
39   {'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 2999}         0.958596        0.027406               43
4     {'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__min_samples_split': 14, 'model__n_estimators': 786}         0.958596        0.027406               43
45  {'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 13, 'model__n_estimators': 2947}         0.958596        0.027406               43
46   {'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 2989}         0.958596        0.027406               43
0    {'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 17, 'model__n_estimators': 2157}         0.958596        0.027406               43
1    {'model__max_depth': 40, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 1963}         0.958523        0.027376               48
44      {'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2999}         0.957636        0.029755               49
13      {'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3000}         0.954192        0.031707               50


