09.12.2024 11:52:59
Scoring: RSE
Best score: -0.07425225089052202
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 11, 'model__n_estimators': 80})
28   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 9, 'model__n_estimators': 400}       -86.322234        3.927000                1
39     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 9, 'model__n_estimators': 400}       -86.322336        3.926848                2
32  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 10, 'model__n_estimators': 400}       -86.345155        3.921667                3
23     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 8, 'model__n_estimators': 800}       -86.427169        3.984108                4
24     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 800}       -86.438811        3.832614                5
44     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 9, 'model__n_estimators': 200}       -86.448602        3.951018                6
48    {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 10, 'model__n_estimators': 200}       -86.462264        3.946139                7
49     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 400}       -86.474071        3.832442                8
36     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 800}       -86.498397        3.820274                9
27   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 400}       -86.719593        4.093828               10
37    {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 60}       -87.091424        4.081431               11
20      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 500}       -87.118559        4.107802               12
10      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 900}       -87.140774        4.167878               13
14      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 300}       -87.199550        4.110312               14
6       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__n_estimators': 900}       -87.236539        4.162667               15
40  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 200}       -87.265638        3.791546               16
46  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 15, 'model__n_estimators': 400}       -87.310717        3.865868               17
22      {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 8, 'model__n_estimators': 50}       -87.514814        3.975669               18
38      {'model__bootstrap': True, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 3, 'model__n_estimators': 400}       -87.542812        4.083212               19
45  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 15, 'model__n_estimators': 200}       -87.583943        3.875997               20
25      {'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 300}       -87.597672        4.004472               21
21      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -87.624657        4.140823               22
5      {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 50}       -87.865799        3.591601               23
42  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 17, 'model__n_estimators': 400}       -87.912313        3.833439               24
18      {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 4, 'model__n_estimators': 50}       -88.069043        4.256921               25
15       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 90}       -88.082717        4.113110               26
43  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 17, 'model__n_estimators': 100}       -88.314188        3.689899               27
33       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 70}       -88.425838        4.100135               28
13     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 800}       -88.532107        4.356654               29
26     {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 400}       -88.544842        4.384858               30
34       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 80}       -88.681694        4.082723               31
12    {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_split': 20, 'model__n_estimators': 400}       -88.838560        3.856579               32
41   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 17, 'model__n_estimators': 40}       -89.287844        3.691891               33
47      {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 600}       -90.369283        3.816315               34
7       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 300}       -90.441573        3.730887               35
19       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 30}       -90.443191        4.140667               36
17     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__n_estimators': 50}       -90.917023        3.788728               37
16       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 20}       -92.163260        4.216951               38
29   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 15, 'model__n_estimators': 10}       -93.510788        4.196000               39
8        {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 700}       -93.629054        4.295364               40
0        {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 500}       -93.929889        4.203596               41
